301,"General requirements for shipment of compressed gases and other hazardous materials in cylinders, UN pressure receptacles and spherical pressure vessels.",0
301a,Additional general requirements for shipment of specification cylinders.,0
301b,Additional general requirements for shipment of UN pressure receptacles.,0
302,Filling of cylinders with nonliquefied (permanent) compressed gases or adsorbed gases.,69
302a,Additional requirements for shipment nonliquefied (permanent) compressed gases in specification cylinders.,0
302b,Additional requirements for shipment of non-liquefied (permanent) compressed gases in UN pressure receptacles.,0
302c,"Additional requirements for the shipment of adsorbed gases in UN pressure receptacles.
",35
303,Charging of cylinders with compressed gas in solution (acetylene).,1
304,Filling of cylinders with liquefied compressed gases.,140
304a,Additional requirements for shipment of liquefied compressed gases in specification cylinders.,0
304b,Additional requirements for shipment of liquefied compressed gases in UN pressure receptacles.,0
305,Charging of cylinders with a mixture of compressed gas and other material.,25
306,Limited quantities of compressed gases.,6
307,Exceptions for compressed gases.,1
308,Cigarette lighter or other similar device charged with fuel.,0
309,Fire extinguishers.,1
310,Exceptions for radiation detectors.,0
311,Metal hydride storage systems.,1
312,Requirements for shipment of MEGCs.,0
313,UN Portable Tank Table for Liquefied Compressed Gases and Chemical Under Pressure.,6
314,Compressed gases in tank cars and multi-unit tank cars.,169
315,Compressed gases in cargo tanks and portable tanks.,169
316,Cryogenic liquids in cylinders.,14
318,Cryogenic liquids in cargo tanks.,13
319,Cryogenic liquids in tank cars.,4
320,Cryogenic liquids; exceptions.,0
321,Ethylamine.,1
322,Ethyl chloride.,1
323,Ethylene oxide.,2
334,Organic phosphates mixed with compressed gas.,4
335,Chemical under pressure n.o.s.,6
336,"Nitrogen dioxide, liquefied, or dinitrogen tetroxide, liquefied.",2
337,Nitric oxide.,2
338,Tungsten hexafluoride.,1
340,Tear gas devices.,5
401,Scope.,0
403,Definitions.,0
410,General design requirements.,0
411,Industrial packages.,0
412,Additional design requirements for Type A packages.,0
413,Requirements for Type B packages.,0
415,Authorized Type A packages.,4
416,Authorized Type B packages.,4
417,Authorized fissile materials packages.,10
418,Authorized packages—pyrophoric Class 7 (radioactive) materials.,2
419,Authorized packages—oxidizing Class 7 (radioactive) materials.,2
420,"Uranium hexafluoride (fissile, fissile excepted and non-fissile).",4
421,Excepted packages for limited quantities of Class 7 (radioactive) materials.,2
422,Additional requirements for excepted packages containing Class 7 (radioactive) materials.,7
423,Requirements for multiple hazard limited quantity Class 7 (radioactive) materials.,0
424,Excepted packages for radioactive instruments and articles.,1
425,Table of activity limits—excepted quantities and articles.,0
426,Excepted packages for articles containing natural uranium or thorium.,2
427,Transport requirements for low specific activity (LSA) Class 7 (radioactive) material and surface contaminated objects (SCO).,10
428,Empty Class 7 (radioactive) materials packaging.,2
431,Activity limits for Type A and Type B packages.,0
433,"Requirements for determining basic radionuclide values, and for the listing of radionuclides on shipping papers and labels.",0
434,Activity-mass relationships for uranium and natural thorium.,0
435,Table of A1 and A2 values for radionuclides.,0
436,Exempt material activity concentrations and exempt consignment activity limits for radionuclides.,0
441,Radiation level limitations and exclusive use provisions.,0
442,Thermal limitations.,0
443,Contamination control.,0
447,Storage incident to transportation—general requirements.,0
448,General transportation requirements.,0
453,Fissile materials—exceptions.,0
457,Transportation of fissile material packages—specific requirements.,0
459,Mixing of fissile material packages with non-fissile or fissile-excepted material packages.,0
461,Demonstration of compliance with tests.,0
462,Preparation of specimens for testing.,0
465,Type A packaging tests.,0
466,Additional tests for Type A packagings designed for liquids and gases.,0
467,Tests for demonstrating the ability of Type B and fissile materials packagings to withstand accident conditions in transportation.,0
468,Test for LSA-III material.,0
469,Tests for special form Class 7 (radioactive) materials.,0
471,Requirements for U.S. Nuclear Regulatory Commission approved packages.,0
472,Requirements for exporting DOT Specification Type B and fissile packages.,0
473,"Requirements for foreign-made packages.
",0
474,Quality control for construction of packaging.,0
475,Quality control requirements prior to each shipment of Class 7 (radioactive) materials.,0
476,Approval of special form Class 7 (radioactive) materials.,4
477,Approval of packagings containing greater than 0.1 kg of non-fissile or fissile-excepted uranium hexafluoride.,0
